contrast,time,channel,t_obs,cluster,p_val
blurr_left - normal_left,0.0000,Fp1,0.0954,NA,1.0000
blurr_left - normal_left,0.0000,Fpz,-1.0087,NA,1.0000
blurr_left - normal_left,0.0000,Fp2,-3.3949,NA,1.0000
blurr_left - normal_left,0.0000,AF7,-1.5357,NA,1.0000
blurr_left - normal_left,0.0000,AF3,-2.7293,NA,1.0000
blurr_left - normal_left,0.0000,AFz,3.3944,NA,1.0000
blurr_left - normal_left,0.0000,AF4,-0.7584,NA,1.0000
blurr_left - normal_left,0.0000,AF8,-12.3527,NA,1.0000
blurr_left - normal_left,0.0000,F9,0.5415,NA,1.0000
blurr_left - normal_left,0.0000,F7,0.0953,NA,1.0000
blurr_left - normal_left,0.0000,F5,-1.4528,NA,1.0000
blurr_left - normal_left,0.0000,F3,0.1250,NA,1.0000
blurr_left - normal_left,0.0000,Fz,0.1898,NA,1.0000
blurr_left - normal_left,0.0000,F4,0.7763,NA,1.0000
blurr_left - normal_left,0.0000,F6,-9.9960,NA,1.0000
blurr_left - normal_left,0.0000,F8,0.5485,NA,1.0000
blurr_left - normal_left,0.0000,F10,0.3504,NA,1.0000
blurr_left - normal_left,0.0000,FT7,0.6451,NA,1.0000
blurr_left - normal_left,0.0000,FC5,0.1567,NA,1.0000
blurr_left - normal_left,0.0000,FC3,3.9972,NA,1.0000
blurr_left - normal_left,0.0000,FC1,5.0494,NA,1.0000
blurr_left - normal_left,0.0000,FC2,-0.1486,NA,1.0000
blurr_left - normal_left,0.0000,FC4,0.0570,NA,1.0000
blurr_left - normal_left,0.0000,FC6,-0.6253,NA,1.0000
blurr_left - normal_left,0.0000,FT8,0.2267,NA,1.0000
blurr_left - normal_left,0.0000,T7,734.7103,pos_204,1.0000
blurr_left - normal_left,0.0000,C5,1.8362,NA,1.0000
blurr_left - normal_left,0.0000,C3,4.2909,NA,1.0000
blurr_left - normal_left,0.0000,C1,6.9496,NA,1.0000
blurr_left - normal_left,0.0000,Cz,1.8028,NA,1.0000
blurr_left - normal_left,0.0000,C2,0.1562,NA,1.0000
blurr_left - normal_left,0.0000,C4,-0.5042,NA,1.0000
blurr_left - normal_left,0.0000,C6,-1.4405,NA,1.0000
blurr_left - normal_left,0.0000,T8,-1.2534,NA,1.0000
blurr_left - normal_left,0.0000,TP9,13.1498,pos_204,1.0000
blurr_left - normal_left,0.0000,TP7,3.8210,NA,1.0000
blurr_left - normal_left,0.0000,CP5,1.2426,NA,1.0000
blurr_left - normal_left,0.0000,CP3,1.6211,NA,1.0000
blurr_left - normal_left,0.0000,CP1,5.1526,NA,1.0000
blurr_left - normal_left,0.0000,CPz,-0.1204,NA,1.0000
blurr_left - normal_left,0.0000,CP2,-0.7124,NA,1.0000
blurr_left - normal_left,0.0000,CP4,-0.9848,NA,1.0000
blurr_left - normal_left,0.0000,CP6,-1.3436,NA,1.0000
blurr_left - normal_left,0.0000,TP8,-3.2818,NA,1.0000
blurr_left - normal_left,0.0000,TP10,-0.2150,NA,1.0000
blurr_left - normal_left,0.0000,P7,1.0753,NA,1.0000
blurr_left - normal_left,0.0000,P5,1.1625,NA,1.0000
blurr_left - normal_left,0.0000,P3,1.1897,NA,1.0000
blurr_left - normal_left,0.0000,Pz,-0.7722,NA,1.0000
blurr_left - normal_left,0.0000,P4,-1.0870,NA,1.0000
blurr_left - normal_left,0.0000,P6,-1.4559,NA,1.0000
blurr_left - normal_left,0.0000,P8,-1.0947,NA,1.0000
blurr_left - normal_left,0.0000,PO9,0.7882,NA,1.0000
blurr_left - normal_left,0.0000,PO7,1.6963,NA,1.0000
blurr_left - normal_left,0.0000,PO3,-0.6167,NA,1.0000
blurr_left - normal_left,0.0000,POz,-1.4393,NA,1.0000
blurr_left - normal_left,0.0000,PO4,-1.1104,NA,1.0000
blurr_left - normal_left,0.0000,PO8,-1.7678,NA,1.0000
blurr_left - normal_left,0.0000,PO10,-1.4337,NA,1.0000
blurr_left - normal_left,0.0000,O1,-1.0585,NA,1.0000
blurr_left - normal_left,0.0000,Oz,-6.5556,NA,1.0000
blurr_left - normal_left,0.0000,O2,-2.1985,NA,1.0000
blurr_left - normal_left,0.0020,Fp1,0.0473,NA,1.0000
blurr_left - normal_left,0.0020,Fpz,-1.1053,NA,1.0000
blurr_left - normal_left,0.0020,Fp2,-3.2747,NA,1.0000
blurr_left - normal_left,0.0020,AF7,0.7395,NA,1.0000
blurr_left - normal_left,0.0020,AF3,-0.8834,NA,1.0000
blurr_left - normal_left,0.0020,AFz,9.3876,NA,1.0000
blurr_left - normal_left,0.0020,AF4,-0.6913,NA,1.0000
blurr_left - normal_left,0.0020,AF8,-17.2881,neg_52,1.0000
blurr_left - normal_left,0.0020,F9,0.5012,NA,1.0000
blurr_left - normal_left,0.0020,F7,-0.2052,NA,1.0000
blurr_left - normal_left,0.0020,F5,-11.6839,NA,1.0000
blurr_left - normal_left,0.0020,F3,0.4346,NA,1.0000
blurr_left - normal_left,0.0020,Fz,0.4938,NA,1.0000
blurr_left - normal_left,0.0020,F4,2.7355,NA,1.0000
blurr_left - normal_left,0.0020,F6,-0.7548,NA,1.0000
blurr_left - normal_left,0.0020,F8,0.4543,NA,1.0000
blurr_left - normal_left,0.0020,F10,0.2951,NA,1.0000
blurr_left - normal_left,0.0020,FT7,0.8575,NA,1.0000
blurr_left - normal_left,0.0020,FC5,0.6504,NA,1.0000
blurr_left - normal_left,0.0020,FC3,380.5695,pos_26,1.0000
blurr_left - normal_left,0.0020,FC1,3.0826,NA,1.0000
blurr_left - normal_left,0.0020,FC2,0.0847,NA,1.0000
blurr_left - normal_left,0.0020,FC4,0.2349,NA,1.0000
blurr_left - normal_left,0.0020,FC6,-0.2315,NA,1.0000
blurr_left - normal_left,0.0020,FT8,0.1814,NA,1.0000
